单词,词性,释义,遗忘次数,记忆次数
aback,adv.,吃惊地,0,0
abandon,n.,放纵,0,0
abash,v.,使羞愧， 使困窘,0,0
abate,v.,减弱,0,0
abbreviate,v.,缩短,0,0
aberrant,adj.,不正常的,0,0
abet,v.,怂恿， 支持， 教唆（犯罪）,0,0
abeyance ,n.,中止， 暂停,0,0
abhor,v.,厌恶,0,0
abiding,adj.,长期的,0,0
abnegate,v.,否认,0,0
abolish,v.,废除， 废止,0,0
abominate,v. ,憎恶， 憎恨,0,0
abound,v.,富于， 充满,0,0
abrade,v.,磨损,0,0
abreast,adj.,与时俱进的,0,0
abridge,v.,缩短,0,0
absorbing,adj.,吸引人的,0,0
abstemious,adj.,生活节制的,0,0
abstraction,n.,抽象， 概要,0,0
abstruse,adj.,难以理解的,0,0
abuse,v.,滥用,0,0
abyss,n.,深渊（指危险的处境）,0,0
accede,v.,同意,0,0
accent,v.,发重音,0,0
accentuate,v.,强调,0,0
acclaim,v.,欢呼， 喝彩,0,0
accolade,n.,赞美,0,0
accommodate,v.,调解,0,0
accord,n.,和谐， 一致,0,0
accountable,adj.,（对某事）负责任的,0,0
accrete ,v.,逐渐增长,0,0
accretive,adj., 增积的,0,0
acerbic,adj.,（语言）辛辣尖刻的,0,0
acidic,adj.,酸的， 尖酸刻薄的,0,0
acknowledge,v.,感谢,0,0
acme,n. ,最高点,0,0
acolyte,n.,助手,0,0
acquiesce,v.,默许， 默认,0,0
acquired,adj.,后天习得的,0,0
acquisitive,adj.,贪婪的,0,0
acquittal,n.,宣告无罪,0,0
acrimony,n.,尖刻， 犀利,0,0
acumen,n.,机智， 精明,0,0
acute,adj.,严重的，关键的,0,0
adamant,adj.,固执的,0,0
adduce,v.,引用…证明,0,0
adept,adj.,精通的,0,0
adhere,v.,依附于…，坚持,0,0
adjacent,adj.,相邻的,0,0
adjudicate ,v.,裁定， 宣判,0,0
adjunct,n.,附属物,0,0
adjuration,n.,恳求,0,0
admonish,v.,警告， 批评,0,0
adorn,v.,装饰,0,0
adroit,adj.,灵巧的,0,0
adulation,n.,恭维， 吹捧,0,0
adulterate,v.,掺假,0,0
adversarial,adj.,敌对的,0,0
adverse,adj.,不利的， 有害的,0,0
aesthetic,adj.,美学的,0,0
affable,adj.,和蔼可亲的,0,0
affect,v.,伪装， 装腔作势,0,0
affiliate,v.,附属,0,0
affinity,n.,倾向， 偏好,0,0
affirmative,adj.,积极的,0,0
agglomerate,v.,聚集,0,0
aggrandize,v.,夸大， 吹捧,0,0
aggrieve,v.,使痛苦,0,0
aghast,adj.,吃惊的,0,0
agog,adj.,急切渴望的,0,0
agonize,v.,感到痛苦，挣扎,0,0
agreeable,adj.,适合的,0,0
ailment,n.,疾病,0,0
aimless,adj., 漫无目的的,0,0
airtight,adj.,密封的， 不透气的,0,0
akin,adj.,相似的， 相关的,0,0
alacrity,n.,欣然同意,0,0
alarmism,n.,（毫无根据的）担忧， 危言耸听,0,0
albeit,conj. ,即使,0,0
alienate,v.,疏远,0,0
allege,v.,断言， 宣称,0,0
allegory,n.,象征,0,0
alleviate,v.,减轻,0,0
alliance,n.,联盟， 联合,0,0
allure,v.,引诱,0,0
aloof,adj.,冷漠的， 疏远的,0,0
alter,v.,改变,0,0
altercate,v. ,争吵,0,0
altruism,n.,无私， 利他主义,0,0
amass,v.,积聚， 积累,0,0
ambiguous,adj.,有歧义的， 模糊不清的,0,0
ambivalent,adj.,（情感、态度）矛盾的,0,0
ameliorate,v.,改善， 提升,0,0
amenable,adj.,愿意的， 服从的,0,0
amicable,adj.,和善的,0,0
amid,prep.,在…之中,0,0
amiss,adj.,错误的,0,0
amorphous,adj.,无固定形状的,0,0
amplify,v.,详细阐述,0,0
anachronism,n.,时代错乱,0,0
analgesic,n.,止痛药,0,0
analogous,adj.,相似的,0,0
anarchism,n.,无政府主义,0,0
anathema,n.,极其讨厌的人或事,0,0
anatomize,v.,解剖,0,0
anchor,v.,使...稳定,0,0
ancillary,adj.,辅助的,0,0
anecdote,n.,趣闻，轶事,0,0
anemia,n.,缺乏活力,0,0
animadversion,n.,批判， 责骂,0,0
animate,adj.,活着的， 有生命的,0,0
animus,n.,敌意,0,0
annals,n.,历史记载,0,0
anneal,v.,加固,0,0
annex,v.,附加,0,0
annihilate,v.,毁灭， 毁坏,0,0
annotate,v.,注释,0,0
anodyne,adj.,不惹人厌烦的,0,0
anomalous,adj.,不寻常的， 异常的,0,0
anonymous,adj.,不出名的,0,0
antagonistic,adj.,敌对的,0,0
